"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"80","FRES",-0.0140053272283437,-0.227453824710844,-0.0489336890510457,1581,0.24279,0.36661,-60.3977587845706,-2.1507611624096e-06,-980.89112917772,-3.49294839351966e-05,-211.025783229326,-7.51461756148221e-06
"81","BT.A",-0.0985836261614091,0.0685574839873351,0.0309256455525545,308.95,0.154,0.289,-105.38896644487,-4.91402441458391e-05,73.290085390613,3.41733372197754e-05,33.0604781780683,1.54152756597941e-05
"82","SKG",-0.0207030797774507,0.0133689857350123,0.0151951181116897,2099,0.796,1.87499,-23.1765313163638,-7.85119175933814e-06,14.966213717295,5.06989644834198e-06,17.0105189448673,5.76241734964507e-06
"83","BLT",-0.0902197783205126,-0.205403637450288,-0.220590471153822,1194.5,0.23138,0.17608,-612.037285346731,-1.74759751425703e-05,-1393.42710662409,-3.97876045485539e-05,-1496.45228187892,-4.27293622566524e-05
"84","KGF",-0.0987440678053726,0.0620012855465456,-0.0141609114257229,367.8,0.104,0.244,-148.844541552525,-2.79211067203881e-05,93.4593148525388,1.753163049712e-05,-21.3458328786102,-4.00417288818701e-06
"85","IAG",-0.115437669350263,0.163050181290256,-0.0315118544399182,590.5,0.2006,0.76995,-88.5329485698164,-3.92155740417658e-05,125.048551272025,5.53901208582985e-05,-24.1674784684352,-1.07049585108342e-05
"86","STJ",-0.138883826418509,0.088966811456888,-0.0608898040812516,1168,0.33,0.379,-428.011370070761,-3.9239437258654e-05,274.177403117797,2.51361710451824e-05,-187.649844767551,-1.72034549202166e-05
"87","BATS",-0.103179374312089,-0.127266165964868,0.179327301488596,5386,1.694,2.475,-224.53499395754,-3.24518863877978e-05,-276.951745408801,-4.00276429900645e-05,390.245190229325,5.64018657114152e-05
"88","DCC",-0.099099050571181,0.0225299293605539,0.0624725236620091,7535,1.1,2.97455,-251.033381874182,-1.44670146819242e-05,57.0718319516476,3.28904078256261e-06,158.252665375683,9.12007644700863e-06
"89","GSK",-0.104807472428161,-0.124640525139945,0.12163986406871,1638,0.8,1.024,-167.651015466141,-5.11880207219347e-05,-199.37615251878,-6.08744933528426e-05,194.576266938034,5.94089690201269e-05
"90","CRDA",-0.0996456579207429,-0.045916432260127,0.0919899966221831,3929,0.74,1.55,-252.585670948773,-1.87675711024051e-05,-116.390749903251,-8.64804272651922e-06,233.179804341005,1.73256801986295e-05
"91","BRBY",-0.0952573129737782,-0.0798062129959833,-0.0061993020043866,1718,0.38,0.7743,-211.354854305761,-2.10697199825586e-05,-177.072289716001,-1.7652130930427e-05,-13.7548764607209,-1.37120766104011e-06
"92","MKS",-0.106841488117283,0.0881512004066909,-0.032495135435032,382.6,0.187,0.29292,-139.5519368895,-5.22199641346887e-05,115.139455399426,4.3084878400552e-05,-42.4438031457163,-1.58823584065629e-05
"93","ANTO",-0.0690073267193378,-0.181497890589006,-0.239877612602644,806,0.14567,0.28082,-198.062478939485,-1.24718328575756e-05,-520.929064221703,-3.28024785634001e-05,-688.48855408351,-4.33535630618203e-05
"94","LLOY",-0.10808171654005,0.11457926728054,-0.147556449423224,71.28,0.0305,0.07204,-106.941487437184,-4.62470869033602e-05,113.370491001623,4.90273239626328e-05,-145.999773943467,-6.31379307997801e-05
"95","PSN",-0.113421851709294,0.195367506196884,-0.0300700318652635,2422,1.1,1.995,-137.698107689178,-5.15128145665661e-05,237.183007523234,8.87300812620033e-05,-36.5060737732673,-1.36569096002435e-05
"96","WPP",-0.0253328429521494,-0.0199906411912797,-0.0260476736774291,1698,0.566,1.132,-37.9992644282242,-8.44428098404981e-06,-29.9859617869196,-6.6635470637599e-06,-39.0715105161436,-8.68255789247636e-06
"97","REL",-0.109304998117592,-0.0707525477127096,0.178318286895652,1613,0.3595,0.722,-244.195238176837,-2.43615293386698e-05,-158.066287341552,-1.5769089214333e-05,398.375895793194,3.97429783874685e-05
"98","ITRK",-0.0992753239199965,-0.0944302760268996,0.0283281886937205,4140,0.624,1.677,-245.080406099455,-1.49632372285212e-05,-233.119464968017,-1.42329691402863e-05,69.933632195589,4.26975597702453e-06
"99","PPB",-0.0480126945133465,0.0468061062017019,0.0521899245470856,8360,1.65,3.333,-120.427880627536,-9.47618970658155e-06,117.401454499318,9.2380472766517e-06,130.905421306221,1.03006430027143e-05
"100","JMAT",-0.11869347034676,-0.0568558489500756,-0.0132445022336412,3080,0.78373,2.0369,-179.476601044735,-3.02024784139175e-05,-85.9718271717967,-1.44674137979359e-05,-20.0270346505056,-3.37016679726351e-06
"101","WPG",-0.0811961599355606,0.0752112918337497,-0.00135730394031951,0,0,0,0,0,0,0,0,0
